Human_gene_stable_ID	symbol_human
ENSG00000178074	C2orf69
ENSG00000204564	NA
ENSG00000135776	ABCB10
ENSG00000158578	ALAS2
ENSG00000124172	ATP5F1E
ENSG00000241468	ATP5MF
ENSG00000173915	ATP5MK
ENSG00000167863	ATP5PD
ENSG00000154723	ATP5PF
ENSG00000241837	ATP5PO
ENSG00000175756	AURKAIP1
ENSG00000087088	BAX
ENSG00000100290	BIK
ENSG00000135441	BLOC1S1
ENSG00000176720	BOK
ENSG00000178096	BOLA1
ENSG00000163170	BOLA3
ENSG00000108561	C1QBP
ENSG00000218739	NA
ENSG00000250479	NA
ENSG00000111666	CHPT1
ENSG00000125656	CLPP
ENSG00000168275	COA6
ENSG00000093010	COMT
ENSG00000165644	COMTD1
ENSG00000240230	COX19
ENSG00000203667	COX20
ENSG00000131143	COX4I1
ENSG00000135940	COX5B
ENSG00000111775	COX6A1
ENSG00000126267	COX6B1
ENSG00000164919	COX6C
ENSG00000112695	COX7A2
ENSG00000127184	COX7C
ENSG00000172115	CYCS
ENSG00000120675	DNAJC15
ENSG00000205981	DNAJC19
ENSG00000121310	ECHDC2
ENSG00000130159	ECSIT
ENSG00000167136	ENDOG
ENSG00000120915	EPHX2
ENSG00000139160	ETFBKMT
ENSG00000114023	FAM162A
ENSG00000137714	FDX1
ENSG00000164898	FMC1
ENSG00000179271	GADD45GIP1
ENSG00000149124	GLYAT
ENSG00000173264	NA
ENSG00000119431	HDHD3
ENSG00000181061	HIGD1A
ENSG00000175202	NA
ENSG00000146066	HIGD2A
ENSG00000072506	HSD17B10
ENSG00000136003	ISCU
ENSG00000166816	LDHD
ENSG00000124370	MCEE
ENSG00000172366	MCRIP2
ENSG00000050393	MCUR1
ENSG00000008394	MGST1
ENSG00000173436	MICOS10
ENSG00000177427	NA
ENSG00000171861	MRM3
ENSG00000242485	MRPL20
ENSG00000197345	MRPL21
ENSG00000185414	MRPL30
ENSG00000171421	MRPL36
ENSG00000105364	MRPL4
ENSG00000136522	MRPL47
ENSG00000149792	MRPL49
ENSG00000111639	MRPL51
ENSG00000183617	MRPL54
ENSG00000162910	MRPL55
ENSG00000173141	MRPL57
ENSG00000048544	MRPS10
ENSG00000266472	MRPS21
ENSG00000147586	MRPS28
ENSG00000090263	MRPS33
ENSG00000134056	NA
ENSG00000125445	MRPS7
ENSG00000125356	NDUFA1
ENSG00000130414	NDUFA10
ENSG00000174886	NDUFA11
ENSG00000184752	NDUFA12
ENSG00000186010	NDUFA13
ENSG00000131495	NDUFA2
ENSG00000170906	NA
ENSG00000128609	NDUFA5
ENSG00000184983	NA
ENSG00000119421	NDUFA8
ENSG00000004779	NDUFAB1
ENSG00000123545	NDUFAF4
ENSG00000090266	NDUFB2
ENSG00000119013	NDUFB3
ENSG00000136521	NDUFB5
ENSG00000165264	NDUFB6
ENSG00000099795	NDUFB7
ENSG00000147684	NDUFB9
ENSG00000109390	NDUFC1
ENSG00000168653	NDUFS5
ENSG00000145494	NDUFS6
ENSG00000115286	NDUFS7
ENSG00000110717	NDUFS8
ENSG00000178127	NDUFV2
ENSG00000160194	NDUFV3
ENSG00000145247	OCIAD2
ENSG00000116288	PARK7
ENSG00000169340	NA
ENSG00000229833	PET100
ENSG00000101132	NA
ENSG00000107537	PHYH
ENSG00000070501	POLB
ENSG00000167815	PRDX2
ENSG00000126432	PRDX5
ENSG00000141378	PTRH2
ENSG00000076043	REXO2
ENSG00000125995	ROMO1
ENSG00000116171	SCP2
ENSG00000205138	SDHAF1
ENSG00000124523	SIRT5
ENSG00000119705	SLIRP
ENSG00000232388	NA
ENSG00000142168	SOD1
ENSG00000162298	NA
ENSG00000134809	TIMM10
ENSG00000132286	TIMM10B
ENSG00000265354	TIMM23
ENSG00000204152	NA
ENSG00000100575	TIMM9
ENSG00000105518	TMEM205
ENSG00000196683	TOMM7
ENSG00000137288	UQCC2
ENSG00000184076	UQCR10
ENSG00000127540	UQCR11
ENSG00000156467	UQCRB
ENSG00000164405	UQCRQ
ENSG00000183044	ABAT
ENSG00000173208	ABCD2
ENSG00000111271	ACAD10
ENSG00000240303	ACAD11
ENSG00000177646	ACAD9
ENSG00000115361	ACADL
ENSG00000119673	ACOT2
ENSG00000184227	NA
ENSG00000123130	ACOT9
ENSG00000111058	ACSS3
ENSG00000063761	ADCK1
ENSG00000141385	AFG3L2
ENSG00000006530	NA
ENSG00000172482	AGXT
ENSG00000198074	AKR1B10
ENSG00000137124	ALDH1B1
ENSG00000072210	ALDH3A2
ENSG00000159423	ALDH4A1
ENSG00000143149	ALDH9A1
ENSG00000145020	AMT
ENSG00000102401	ARMCX3
ENSG00000099889	NA
ENSG00000171791	BCL2
ENSG00000161267	NA
ENSG00000164305	CASP3
ENSG00000123815	COQ8B
ENSG00000110090	CPT1A
ENSG00000095321	CRAT
ENSG00000113851	NA
ENSG00000088766	CRLS1
ENSG00000005469	CROT
ENSG00000116791	CRYZ
ENSG00000134463	ECHDC3
ENSG00000127884	ECHS1
ENSG00000113790	EHHADH
ENSG00000066926	FECH
ENSG00000154727	NA
ENSG00000182890	NA
ENSG00000148672	GLUD1
ENSG00000164284	GRPEL2
ENSG00000138796	HADH
ENSG00000084754	HADHA
ENSG00000116882	HAO2
ENSG00000049860	NA
ENSG00000117305	HMGCL
ENSG00000067704	IARS2
ENSG00000182054	IDH2
ENSG00000067064	IDI1
ENSG00000065427	KARS1
ENSG00000137944	KYAT3
ENSG00000196365	LONP1
ENSG00000189221	MAOA
ENSG00000069535	MAOB
ENSG00000027001	MIPEP
ENSG00000137409	MTCH1
ENSG00000112992	NNT
ENSG00000151413	NUBPL
ENSG00000141447	OSBPL1A
ENSG00000241878	PISD
ENSG00000107959	PITRM1
ENSG00000092020	NA
ENSG00000186314	PRELID2
ENSG00000180011	ZADH2
ENSG00000118873	NA
ENSG00000101084	RAB5IF
ENSG00000135002	RFK
ENSG00000156398	SFXN2
ENSG00000107819	SFXN3
ENSG00000102743	SLC25A15
ENSG00000177542	SLC25A22
ENSG00000085491	NA
ENSG00000162461	SLC25A34
ENSG00000099940	SNAP29
ENSG00000137767	SQOR
ENSG00000139531	SUOX
