Human_gene_stable_ID	symbol_human
ENSG00000178074	C2orf69
ENSG00000204564	NA
ENSG00000135776	ABCB10
ENSG00000158578	ALAS2
ENSG00000175756	AURKAIP1
ENSG00000111666	CHPT1
ENSG00000125656	CLPP
ENSG00000093010	COMT
ENSG00000165644	COMTD1
ENSG00000240230	COX19
ENSG00000121310	ECHDC2
ENSG00000167136	ENDOG
ENSG00000120915	EPHX2
ENSG00000139160	ETFBKMT
ENSG00000136003	ISCU
ENSG00000172366	MCRIP2
ENSG00000008394	MGST1
ENSG00000204316	MRPL38
ENSG00000105364	MRPL4
ENSG00000160194	NDUFV3
ENSG00000145247	OCIAD2
ENSG00000132570	PCBD2
ENSG00000169340	NA
ENSG00000229833	PET100
ENSG00000107537	PHYH
ENSG00000126432	PRDX5
ENSG00000125995	ROMO1
ENSG00000116171	SCP2
ENSG00000205138	SDHAF1
ENSG00000132286	TIMM10B
ENSG00000100575	TIMM9
ENSG00000173208	ABCD2
ENSG00000177646	ACAD9
ENSG00000119673	ACOT2
ENSG00000184227	NA
ENSG00000111058	ACSS3
ENSG00000198074	AKR1B10
ENSG00000143149	ALDH9A1
ENSG00000164305	CASP3
ENSG00000031691	NA
ENSG00000163050	COQ8A
ENSG00000134463	ECHDC3
ENSG00000113790	EHHADH
ENSG00000138796	HADH
ENSG00000116882	HAO2
ENSG00000049860	NA
ENSG00000182054	IDH2
ENSG00000067064	IDI1
ENSG00000137944	KYAT3
ENSG00000069535	MAOB
ENSG00000082212	ME2
ENSG00000027001	MIPEP
ENSG00000060762	MPC1
ENSG00000158793	NIT1
ENSG00000186314	PRELID2
ENSG00000100890	PRORP
ENSG00000135002	RFK
ENSG00000156398	SFXN2
ENSG00000085491	NA
ENSG00000137767	SQOR
ENSG00000188917	TRMT2B
